Predict,y
1.1675445,0.534
1.17280413,0
1.48553394,1
1.93996815,0.442
1.6348636,0
1.57900458,1.79
0.82907774,2.877
1.60598001,0.442
1.3627805,1
1.14345182,0.404
0.57354715,0.999
1.7179583,0.643
0.85672624,0
1.79858442,1.834
1.24825543,0
1.55066696,0
1.20021651,3.06
1.51638861,1.485
0.9235786,2.194
1.895615,1.489
0.3395692,2.108
1.87572902,0.466
0.94272907,1.57
1.83452794,0
1.56995931,3.208
1.52771583,1.436
1.24806078,2.487
1.16054048,1.192
0.97508513,1.902
2.09620062,0.465
2.07851372,1.95
1.71766936,0.466
1.49267465,2.172
2.8503349,0
1.72286051,0
0.99600262,0
1.08611399,0.907
1.71320404,3.534
1.11893813,0
1.56546122,2.347
1.46466,0
0.99037077,4.215
0.87561757,0
1.28200157,0.927
0.64361034,0.707
1.0379223,0.442
1.19558318,0
1.5224615,1.968
1.64579874,1.348
1.1649086,0.534
0.36314915,1.949
1.01134471,1.181
2.06514017,1.643
0.84815318,0.883
1.48548795,0.534
2.11564332,2.314
1.35215006,0
0.42398374,2.834
1.08310111,1
0.67389605,0
0.84480334,0
2.10367812,1.485
1.00026994,5.047
0.91519606,0.466
1.99617589,4.162
0.76411953,0
1.51874155,0.534
2.4897185,0
0.49006222,0.404
1.77363416,0.643
1.01824363,0
1.72241214,1.396
0.66573924,0.821
2.31419224,1.484
1.42694466,0
0.62347109,0
0.96638839,0.466
1.24449911,8.489
1.17922124,1.366
2.2861799,0
1.59473002,0
1.35841855,0.417
2.30677604,0
1.17565248,0
1.35651363,0.976
0.56859205,0.465
1.23061755,1.619
0.85905516,1.402
1.01488488,0.466
0.75425581,0.951
1.10486392,1.312
0.94341844,2.855
0.91110152,0
2.21937432,1.393
2.53095876,0.87
1.1330032,5.124
1.33716601,0.466
1.51943793,0.999
-0.0505003,0.883
1.28741951,0.534
1.23460731,0
1.39570027,0.883
1.43869472,0.404
1.49646333,0
1.32869404,1.814
0.65698505,2.55
1.40431695,4.77
1.29842613,0.854
1.53120668,6.85
1.36790204,2.275
1.61733202,2.969
1.48336838,2.415
1.700196,0.931
1.5400113,0.927
1.12963197,2.023
2.6164155,0.534
1.77891108,3.391
0.79925313,6.094
1.6861629,0
0.96135582,1.3
0.99397298,1.417
1.41052889,0.466
1.4604735,0.877
1.73087283,2.553
1.4383129,0
2.18801297,0.466
1.80942808,1.442
1.76221327,0.95
1.39204664,0
1.42848659,0
1.3846555,1.019
0.34302311,0.883
1.63283165,0.87
1.93778308,1.882
1.0466466,0.859
1.92296347,1.019
0.58860728,0
1.61073293,0.534
1.21832017,0.404
1.32668824,0.465
1.17977925,0
1.09533169,0.466
2.16542118,0
1.51710255,0.465
0.71202491,0
0.66502186,0
1.46251779,3.505
1.33372977,1.3
1.10496044,1.019
1.28584952,0
1.07166044,1.878
1.65357883,0
-0.1224925,0.466
1.26934396,0
1.70966254,0.485
0.89113732,0
1.58726302,0.95
1.73931329,0.643
1.33746597,0.466
1.23085439,0.643
0.93239116,0
1.14122357,2.326
1.0472474,4.221
1.16918332,2.832
0.29848728,1.295
0.766318,0.466
1.98118297,0.465
0.9449553,0.442
1.82924345,1.859
1.24425113,0
0.46372361,0.466
0.99306237,0.869
1.65674913,0.534
1.70185655,0.643
1.52822558,1.085
1.59656877,1.32
1.23298333,0.465
0.393007,0
0.75529244,0.466
0.65876131,0.534
1.56949334,0.466
0.84684897,0
0.52354582,0.954
1.81959222,1.814
1.85446985,1.465
1.78873347,0
2.37430115,6.586
0.89866129,6.866
0.7483471,0.908
1.00528706,0.466
0.90632985,1.792
1.40579014,0
1.81379764,4.827
1.03159021,0
1.6589202,0
1.67667901,1.484
0.31599946,0.931
0.93901674,0
1.31330766,2.204
2.86023557,7.461
2.08516879,0
0.25457957,0.908
1.86921088,0.466
1.5108444,0
1.56929934,0
1.37299055,0.643
1.40754004,1.442
1.63927202,0.466
1.28775354,1.072
1.5521008,3.794
1.25906232,0.643
1.51373938,0
0.92528706,1.368
1.76864473,1
1.68315647,5.684
1.63758855,0
1.70122628,1.777
1.7069046,0.404
0.8989575,1.047
1.75318313,1.348
0.92512253,0
0.59090789,0
0.72288519,0.976
0.99451216,4.159
1.73913599,6.737
1.85819706,4.262
0.90964504,2.723
1.95161365,0
0.74300809,0
1.38496728,1.551
0.90860658,1.363
1.27851914,0.534
1.41314123,1.95
1.1387834,0.404
0.77318371,4.098
1.9538908,0
1.10488599,0.534
1.53160041,0.442
1.21993245,1.57
1.56413167,0.465
1.70473906,1.642
2.0449807,0.417
1.62396448,1.574
1.11881675,0.442
1.30030806,1.484
1.52264273,0
1.52568705,3.794
0.97622391,0
0.84378473,0
1.54076747,0
1.1227567,0
1.38105419,2.733
1.19384454,0
0.88745133,0
1.09121385,0.442
2.32625685,0.643
1.88501707,0.442
1.09146997,0
0.89418887,0.465
0.65091501,0.465
0.30785945,1.35
1.33371349,0
0.81314894,2.386
1.28234997,3.856
1.21588489,0
1.43767591,0
1.05284922,3.543
1.01187883,0.485
1.22525352,2.13
2.41622755,5.826
0.79769101,2.617
1.48469207,0.643
1.56705057,0
0.65745677,3.613
1.19972605,0
0.65381282,0
1.64083559,0
0.9588597,0.442
1.1473158,6.512
1.51333362,1.072
1.47323975,1.38
1.86976638,0.465
2.16773783,0
2.1359185,5.467
1.672638,1.109
1.0850872,3.366
1.36372493,2.863
1.48257645,1.301
0.96513825,1.392
1.0443775,1.343
1.27984147,0
-0.03816682,0
1.37331399,2.484
1.61235919,2.369
1.1946582,0
1.69056342,1.465
0.36647801,3.475
1.18589703,0.908
1.62689183,4.631
1.79805221,0
0.3633079,3.085
2.18501375,0.931
2.18809035,3.121
1.66724916,1.177
1.18331083,2.9
1.16380032,0
0.92005395,2.878
1.3301286,0
1.09346637,0.951
0.65019977,0
1.77823295,0
1.9017263,0
0.68913167,2.758
1.25105782,8.009
1.0349135,1.485
1.20885418,0
1.422988,1.35
1.35082383,0
0.72206623,0
0.37790254,0.442
0.74221667,0
1.2275863,0
0.61333452,0.643
1.4496473,2.414
1.04911094,1.81
2.16401437,1.461
0.97573725,0.417
1.07444269,1.82
0.96598369,0.931
2.16556604,1.84
1.57601592,0.466
1.11740103,0
1.07577392,0
1.57480149,0.465
0.09954904,0
1.2917576,0
1.02658454,0.466
1.99381941,0
1.59439622,1.614
0.82421132,1.484
0.48611752,1.368
1.14284172,0.465
0.71733799,0
1.35949072,0
1.76518226,0
1.49115724,2.367
1.30911488,1.368
1.42038105,0.883
1.33080911,5.623
1.18009265,0
1.05702688,0
2.46018421,4.086
2.07535658,3.673
1.43074502,0
0.81645153,1.085
1.4252736,0.466
1.40253299,1.902
2.27744368,0
1.7480963,2.362
0.71018578,3.788
1.34952486,0.534
1.0941092,2.876
1.55315482,0.466
2.07258408,1.393
1.74960606,0.931
0.58818459,0
1.28432899,0.442
1.51560815,5.587
1.61144286,0.485
0.96350998,1.95
2.38364166,0.534
1.62311609,0.442
0.61928302,0
1.66270735,0
1.6357005,0.466
1.40675864,0.908
1.52039386,1.814
1.22522952,1.42
1.40580319,1.553
1.80046651,0
1.280677,2.258
1.32080809,2.489
2.12450688,0.908
1.57434476,0.466
1.38804743,0.931
1.10206705,0.951
0.56941722,1.085
1.83917543,2.285
1.83358764,0.643
1.39361727,1.417
1.89296133,2.502
-0.09404647,0
0.6882713,0
1.36125895,1.484
1.58508086,0.931
0.72966441,1.484
1.39770489,1.417
2.15631099,1
2.22530887,5.811
1.74875882,4.811
0.96416918,1.417
0.7059155,0.883
0.35195704,1.418
1.02308288,0.442
1.71336013,1.416
1.78023559,0.465
-0.30625444,2.28
1.54115596,1.973
1.30028912,1.614
1.46207214,2.614
2.31333823,0.442
1.02139376,0
0.824662,0
1.75696309,3.591
1.66111039,0.882
1.52383258,2.569
1.47566463,1.834
0.8856839,1
0.79290882,4.59
1.24326533,1.335
0.93803044,1.699
2.26752995,0
1.20315127,1.465
0.82069174,0.846
1.48818491,4.145
1.51305602,0.465
0.55891395,0
1.84327098,3.573
1.71641925,0
0.58311374,0
1.15258074,1.287
1.29707288,3.371
0.84615485,3.709
1.24960043,0.643
1.92954943,0.534
1.25582824,0.466
1.30634721,0
1.21066524,0
1.90919529,0
1.16852229,5.224
1.14368161,0.976
0.93859715,0
1.38833939,5.132
1.51630291,6.927
1.71918622,0
1.49145955,0
1.18347333,0
1.3264608,0.466
2.08691242,5.939
1.62908335,0.465
1.82324925,1
0.71108629,0.643
1.11991249,1.465
1.43133622,2.108
1.48807336,1.502
0.79949198,0
1.798972,0.643
0.52461443,0.908
1.36315464,0
1.94895995,0.442
2.09117973,1.978
1.63450244,0.931
1.53603556,0.883
2.49302425,0.87
1.54620071,1.955
1.14782488,2.415
2.3067897,0
1.64479065,0
2.16722593,1.902
1.13134074,0
1.18591007,1.869
1.36953593,2.828
1.63630187,0.465
1.88077969,0
1.45104444,5.267
1.11104178,3.805
0.5737228,0
2.41929518,1.642
1.35409005,1.869
1.99483545,0
1.04062451,3.196
1.72598553,0
2.17002096,2.294
0.86502179,1.784
1.16633005,3.298
1.76848488,2.032
1.81486895,1.998
2.15944402,0
0.95210548,0
1.25528572,1.545
1.34020734,0.485
1.51059906,0.951
1.49038067,0.466
1.22512062,4.337
0.77870785,0.707
1.00096957,2.545
0.88747738,3.625
0.71034208,1.019
0.93845898,0
1.81505741,0
1.11321166,0
1.97723041,1.368
0.99012558,2.326
1.37179057,2.015
-0.08407168,0.976
0.74737577,1.792
0.91796028,2.504
1.61347766,1.551
1.67449263,0
1.35936697,0.534
0.80878197,2.242
1.22524014,0.846
0.76761117,0.442
1.05747565,2.682
1.04170898,0.883
1.47104132,1.325
1.11974364,0
1.79753642,0.466
1.08636597,0.534
1.4419992,0.534
0.56740864,0.643
2.2734682,1.512
0.75955763,1.348
1.85674177,2.461
2.40960209,0.951
1.03634479,4.969
2.05253307,0
1.54076487,0.442
-0.34936567,0
0.42424833,0
0.89056941,1.859
1.05103212,0.465
2.13883893,0.534
0.8547593,0.643
1.57362685,0
0.79535895,1.373
2.08403046,1
1.37538335,0
1.72207598,1.949
1.03420685,3.187
1.0026619,2.567
1.05412939,0
1.05479856,1.465
1.86232301,1.484
1.41653234,3.321
1.81367748,4.274
1.36200887,2.878
0.93591362,2.023
1.6425782,0.883
0.95687284,0.466
0.77645849,2.813
1.38973006,0
1.28813568,0
1.68544875,2.344
0.60203113,0
1.5488239,2.276
1.44912148,1.107
0.7676681,0.465
1.28182167,0.465
1.9133482,0.877
1.77727654,2.44
2.02847777,0
1.89828733,0.883
1.35191638,2.769
0.85841035,5.642
1.03058415,0
2.08912613,2.501
1.97392605,0
1.17754577,1.95
1.19325101,0.442
-0.19036199,0.931
1.69457832,2.059
1.46552574,0
2.13426187,3.088
1.13637138,1.416
0.24811092,0.465
1.72712457,2.735
1.76664585,1.95
1.62691156,0
1.37506919,0.465
1.33784041,0
0.87851488,0.999
1.19793369,0.534
1.57397074,0.976
1.80098732,5.715
0.38029591,4.361
1.02901451,3.535
1.13858382,1.466
1.17293271,0
1.29012368,0.465
2.40065254,2.016
2.06398833,0
1.00260563,0
0.3497128,0.465
1.22441951,2.438
1.78248379,0
0.62624926,1.085
1.75924861,3.745
1.8529586,0
2.23171147,0
1.33286233,2.888
1.80175312,0
2.150866,0
1.79486122,9.362
0.17013277,0.466
1.56833151,0
1.63787369,1.969
0.60977262,0.643
0.87569483,0
1.41466107,0.999
1.85293882,1.778
1.3442676,0.466
0.69324296,0
1.87676682,0
2.21165351,2.998
1.19071488,1.416
0.61943296,0
0.9835733,0.534
1.07649859,0
1.09431658,4.851
1.4818077,0
0.85456417,2.512
1.52461072,0
0.66727246,0
1.24927726,1.833
0.58896529,0
1.34309776,0
2.29551841,0.643
1.0460723,0
1.09518022,3.687
1.00847418,0.485
1.05596079,2.973
1.88638123,3.775
1.91763591,3.716
1.48343995,0
1.17438737,1.368
1.25238573,0.908
1.18641536,7.274
0.4768366,0
1.18822586,2.196
0.76163967,4.888
1.20091081,0
2.06963618,0
1.06135282,0
1.22371761,5.046
1.04906621,0
2.50975978,0
1.02732585,0.883
1.12025201,0
1.73239212,0.951
0.95199429,0
1.56739765,1.019
1.55490944,0.442
1.21302161,1.464
1.533452,3.254
0.42425306,0
2.07688682,0.951
0.7038812,0.442
1.19261238,2.728
1.33379465,5.541
1.15120813,4.405
1.97029044,4.157
1.79086869,0
1.50469341,0.466
1.46999875,0.643
2.13206789,0
1.67645264,5.196
1.14175478,0.534
1.42329256,0
0.89850436,1.545
0.96172344,3.735
1.41870663,2.128
1.6422945,4.816
1.62125372,5.376
1.6781582,1.396
