Predict,y
5.87015463,0.651
6.68928734,0
4.09524528,1.444
7.28998361,6.477
4.39205751,13.824
7.54879784,7.432
4.90860318,0.517
4.34804324,5.097
6.58738093,6.789
6.60799418,4.637
7.06053371,0
5.78685574,17.453
6.47649945,0
6.73758136,1.875
7.20512087,17.322
4.1777141,2.297
6.59953276,1.769
6.95722872,0.743
5.1868829,3.68
5.23282632,2.044
6.72187406,7.183
4.59550581,7.17
6.16003866,9.016
5.19626232,4.436
5.62326285,0.729
6.24825952,10.816
4.35314764,2.093
5.1683547,0
5.8814843,12.827
5.1085302,8.085
6.5627198,12.72
10.28216228,19.443
5.50988946,3.317
5.94136704,4.039
5.16314123,6.01
4.80927728,11.653
6.1716941,20.471
8.24993853,14.222
5.29525983,1.026
9.367056,0.694
8.43792659,2.152
9.0161532,2.324
6.31560555,4.063
6.1703273,37.093
4.38460853,9.542
5.06138705,0
8.97316126,0.63
6.36144089,4.714
7.71108903,10.906
5.72785889,3.047
4.0814276,0
4.41144569,5.438
6.91972496,4.357
4.5979172,20.968
6.12781014,12.802
3.21808008,1.214
5.46164643,5.885
5.84967929,3.533
9.23309399,15.456
5.7560567,1.72
5.73911917,2.625
6.46659503,10.56
4.62829213,19.847
7.04470277,12.192
6.25623928,0.517
5.11065994,0
7.08528258,1.391
7.2407332,1.883
0.97583099,12.248
6.26223305,5.062
5.17538931,0
7.34471525,4.9
6.43090153,6.55
6.94836968,34.904
5.09555582,4.16
5.4809177,1.511
6.44828082,7.304
4.51847865,11.211
5.86228567,6.533
4.7973341,2.962
6.88820174,2.377
7.19259469,4.642
7.74299955,2.099
7.28194295,21.731
6.19923528,4.591
7.50246534,7.709
3.65271952,1.731
10.72058148,5.153
7.13679585,18.322
4.57251635,0
6.4542493,1.251
7.63971358,6.692
6.36087995,1.166
8.16897721,0.68
5.58431327,5.555
7.57488076,12.393
6.15752415,5.813
4.87139669,1.982
7.07150524,26.495
3.51728107,7.8
3.81920621,0
5.25263383,3.71
4.37638997,3.782
6.67675524,1.679
7.30765335,0.509
6.93946911,0
9.51457927,4.547
8.2345793,0.556
6.565219,6.781
6.30194509,17.6
4.01764333,5.528
5.68707432,0
8.37408847,12.965
6.21325348,12.196
6.99009349,0.556
7.32351676,6.767
6.14826801,1.427
4.8756844,6.172
8.74153045,8.184
6.02184647,12.68
7.29258934,0.743
3.92935357,5.729
8.0104314,8.735
6.89654371,14.578
5.72250427,1.296
3.67608027,3.155
6.45667354,8.427
3.28442687,8.487
4.6934267,0
5.18615689,5.077
7.44363638,3.981
6.14495473,1.229
6.53164494,1.135
4.81321141,5.394
4.89394512,1.366
5.35749575,2.845
4.91282442,0
3.27422647,1.563
7.77816401,0
4.27980579,25.29
7.33477482,12.986
4.64457761,0
7.04779736,8.656
4.31842287,0.553
3.98223295,7.382
5.20188999,0.662
6.633547,0.679
7.41789455,6.483
3.39231199,13.982
3.80333227,4.914
8.65029265,0
3.4825396,3.329
4.23567307,15.272
6.89890852,12.921
8.13908997,30.003
7.91234127,0
5.64603833,1.107
7.28701367,2.495
6.4746693,3.914
6.61744092,2.262
10.09538267,1.783
6.02598959,9.256
6.88026326,3.218
8.58063808,3.332
5.61154826,13.559
3.29528659,1.846
6.96668695,0
7.61745223,20.151
4.40388262,1.609
4.59131217,1.197
5.40180488,12.413
2.66784039,4.128
7.675553,0.778
6.66376772,14.539
3.81359466,9.431
6.76662769,9.814
5.20320162,0.509
5.4685227,3.8
5.95321821,7.513
5.10277514,0.407
4.221634,0.535
6.92107764,7.626
4.89554741,9.498
4.13280358,0.509
4.543905,9.69
